node,degree,betweenness,btw_per_deg
32880,2,0.0013963653935481258,0.0006981826964249715
21726,2,0.0011728310920458872,0.0005864155457297358
20317,7,0.002964751010886041,0.00042353585863750073
22644,3,0.0011728310920458875,0.0003909436972183146
11733,3,0.0011103217112917341,0.00037010723697387563
27837,4,0.001272213740648544,0.0003180534350826226
22869,8,0.0024693709249475333,0.0003086713655798577
20719,4,0.0012225053812686074,0.00030562634524074526
17094,4,0.0012225053812686074,0.00030562634524074526
24195,4,0.0012225053812686072,0.0003056263452407452
35856,4,0.0012225053812686068,0.0003056263452407451
13780,4,0.0012225053812686068,0.0003056263452407451
11679,9,0.002544018639410481,0.000282668737680868
46,112,0.028802632191101074,0.0002571663588468206
28468,5,0.0012473425258799674,0.0002494685051260998
33209,6,0.0013717492436774376,0.00022862487390813544
32875,6,0.0013715623190939832,0.00022859371981089825
25911,5,0.0010756140942540019,0.0002151228188077758
34073,6,0.0012721796704913265,0.00021202994504654942
17740,3,0.0006251342611785567,0.00020837808699005953
9,39,0.008125163887737052,0.00020833753557765935
10317,6,0.0012478645855123695,0.00020797743088406533
11692,6,0.0012474447363516191,0.00020790745602395193
35761,6,0.0012225053812686074,0.00020375089684414275
3499,6,0.0012103031087675107,0.00020171718476096558
6346,10,0.001984911103372442,0.00019849111031739508
2433,14,0.002640082796087191,0.0001885773425641867
19647,7,0.0012971190255743387,0.0001853027179127194
18184,7,0.0012822324623685626,0.0001831760660264838
4959,7,0.0012721796704913263,0.00018173995290136948
8477,11,0.0019721502559674484,0.0001792863868898329
14353,7,0.001254066502553014,0.00017915235748198024
9931,7,0.0012473595609585758,0.00017819422296862594
24036,7,0.001224817843530552,0.00017497397762222545
6439,7,0.0012229400146487913,0.0001747057163534408
21680,7,0.0011728865744062861,0.00016755522489124728
1259,43,0.007005809563782264,0.0001629258038051009
32877,8,0.0012473425258799668,0.00015591781571550612
3462,8,0.0012225053812686074,0.0001528131726394743
8794,9,0.0013472117311984688,0.00014969019233875317
6531,8,0.0011799061347008615,0.00014748826681917164
15498,9,0.001321853959714047,0.00014687266217413048
25928,9,0.0013190826098300008,0.00014656473440927066
14528,9,0.0012970168151026867,0.00014411297943984152
19751,10,0.0013716134243298096,0.00013716134241926483
9024,11,0.0014771825921964447,0.00013428932655110503
24944,21,0.002816311465606601,0.00013411006978440433
24057,3,0.0003984845588127091,0.00013282818622662696
13303,10,0.0012972531924776843,0.0001297253192347959
435,2,0.0002490528492579432,0.0001245264245667084
25215,3,0.00036040668120171544,0.00012013556036052663
8502,2,0.00023872901842143156,0.00011936450915103353
17925,11,0.0013061020234338835,0.00011873654757410426
16987,12,0.0014214750994172242,0.00011845625827489732
10897,12,0.0014190162914353545,0.0001182513576097586
34888,5,0.0005825443110127304,0.0001165088621792443
22037,11,0.0012722120807947723,0.00011565564369810151
7995,11,0.001263785698232012,0.00011488960891973841
5,62,0.007097791285472178,0.00011448050460254352
29818,11,0.0012557284976442036,0.00011415713613909514
5018,10,0.0011392505745199527,0.00011392505744060276
60,12,0.0013362697657800307,0.0001113558138057229
19149,10,0.001095561933432764,0.00010955619333232077
6657,13,0.0014170607864131925,0.00010900467586955291
24056,4,0.0004233898437385034,0.00010584746090816399
1943,13,0.0013675690199270688,0.0001051976169093747
6522,12,0.0012485244913709361,0.00010404370760557436
5354,15,0.0015556380100855078,0.00010370920066545324
14974,12,0.0012415659697020496,0.00010346383079988215
3619,4,0.0004135323798151008,0.00010338309492792942
19823,23,0.0023757075508657097,0.00010329163264184426
212,12,0.0012358943257510457,0.00010299119380400455
34887,6,0.0006150898554872996,0.0001025149758974641
5836,13,0.0013111165619513435,0.00010085512014234526
7474,6,0.0005986467324639287,9.977445539402571e-05
24068,4,0.0003984845588127091,9.962113967827199e-05
30779,14,0.0013722020039769207,9.80144288484933e-05
4876,44,0.004202217858169233,9.550495131985747e-05
2118,26,0.0024730034540625147,9.511551746028458e-05
7745,5,0.00046984905678672484,9.3969811338551e-05
2837,29,0.002719571110965512,9.377831416799081e-05
3981,44,0.004095768189223795,9.308564066206159e-05
9921,15,0.001393212959043768,9.288086393005914e-05
4256,15,0.0013702160529310014,9.134773685597692e-05
24020,7,0.0006360387300098374,9.086267570271067e-05
8194,17,0.001507213739404998,8.865963172449049e-05
13037,2,0.00017683834853880536,8.841917422519309e-05
13036,2,0.00017683834853880536,8.841917422519309e-05
12965,2,0.00017683834853880536,8.841917422519309e-05
13013,2,0.00017683834853880536,8.841917422519309e-05
19829,6,0.0005266670452823979,8.777784086577001e-05
27,78,0.006840469019488657,8.769832076155076e-05
26142,16,0.0013966859760709202,8.729287349897671e-05
7246,15,0.0013007395207179898,8.671596804208491e-05
21534,15,0.0012972370422558409,8.648246947795723e-05
7451,16,0.0013772536028336074,8.607835017172057e-05
14285,7,0.0005997280305938834,8.5675432929744e-05
5826,4,0.0003289397129696559,8.223492822185524e-05
13590,2,0.0001628045356604435,8.140226778952061e-05
7927,50,0.004067320870380871,8.13464174059905e-05
16109,3,0.00024396683048038165,8.132227679968646e-05
14586,8,0.0006419798313842785,8.024747891300388e-05
28180,2,0.00015941784186270958,7.970892089150033e-05
18617,18,0.0014072997455985429,7.818331919557552e-05
2839,8,0.0006246197732170481,7.807747164237132e-05
11430,14,0.0010716342944328344,7.654530673973494e-05
4621,21,0.0015956417431116981,7.598294014455787e-05
4629,3,0.0002241475643321489,7.471585475247768e-05
20009,2,0.0001494317095547659,7.471585474002502e-05
9861,33,0.0024116782937724413,7.308116041513213e-05
27888,20,0.0014579188109205112,7.289594054238077e-05
12727,3,0.0002176371719449512,7.254572395746848e-05
